Time (s),Voltage (V),Current (A)
545.889461943,5.0465,0.677819
546.533829341,5.0466,0.712143
547.1759496949999,5.0468,0.662088
547.827859231,5.0465,0.757813
548.4613395469999,5.0462,0.675028
549.106625717,5.0466,0.665709
549.745888642,5.0466,0.658667
550.390535469,5.0465,0.657177
551.030768369,5.0465,0.784215
551.6757732240001,5.0464,0.675793
552.313974658,5.0462,0.675248
552.992032166,5.0467,0.677726
553.6354689539999,5.0465,0.678334
554.280814493,5.0465,0.776677
554.950313891,5.0464,0.664853
555.575116086,5.0463,0.674482
556.2447831960001,5.0464,0.670382
556.870875374,5.0464,0.662663
557.5448637489999,5.0464,0.762716
558.175133492,5.0464,0.677442
558.835270692,5.0462,"0.7277
"
559.4778477079999,5.0462,0.673686
560.1251544919999,5.0465,0.677299
560.76969427,5.0465,0.740724
561.420332448,5.0466,0.648098
562.0648610779999,5.0466,0.763835
562.7103961939999,5.0465,0.677191
563.3552405599999,5.0463,0.676353
563.999544649,5.0463,0.667869
564.6452328390001,5.0466,0.678057
565.2898625610001,5.0465,0.767872
565.96577426,5.0464,0.664047
566.5908684799999,5.0465,0.670312
567.2551714629999,5.0464,0.674511
567.900014989,5.0466,"0.66484
"
568.544960601,5.0469,0.740304
569.215944968,5.0466,0.657373
569.838731411,5.0463,0.797091
570.499528561,5.0463,0.676263
571.144529535,5.0464,0.675735
571.790206101,5.0466,0.747304
572.4645531619999,5.0464,0.675931
573.090510211,5.0463,0.745009
573.769152652,5.0464,0.666831
574.3943137910001,5.0466,0.674701
575.0643872389999,5.0466,0.668998
575.6893539959999,5.0467,"0.66199
"
576.348753963,5.0468,0.699221
576.995256899,5.0463,0.676226
577.6401174959999,5.0462,0.668694
578.284442505,5.0464,0.673658
579.3498830419999,5.0466,0.661417
580.010183134,5.0466,"0.67638
"
580.6538490579999,5.0465,0.769636
581.30474654,5.0464,0.676671
581.9494512409999,5.0462,0.673355
582.5947242909999,5.0463,0.677309
583.2641814609999,5.0465,0.676303
583.8900531279999,5.0467,0.743078
584.5675030729999,5.0465,0.661143
585.1951067150001,5.0463,0.770386
585.8649980069999,5.0465,0.672588
586.490089338,5.0466,0.667239
587.148033104,5.0465,0.739039
587.793886059,5.0465,0.678003
588.4376562989999,5.0465,0.786946
589.084135625,5.0465,0.671834
589.733680193,5.0465,0.675907
590.4039914909999,5.0465,0.663172
591.029240372,5.0465,0.658298
591.69004963,5.0465,0.743322
592.334215605,5.0465,0.677491
592.9788658119999,5.0463,0.774728
593.6546059570001,5.0466,0.677576
594.2808267359999,5.0468,"0.67711
"
594.942541953,5.0467,0.730322
595.588983093,5.0465,0.659839
596.2396690389999,5.0465,0.666274
596.8842857499999,5.0467,0.674028
